USERNAME,FULLNAME,email,DEPARTMENT,RoleRights
maricruz.serrano,Maricruz Serrano Ramos,maricruz.serrano@dummybimbo.com,gestion de servicios,
tpmalipsil,Mariela Aliphat Silvestre,,sistemas,
mescoguz,MARISOL ESCOBAR GUZMAN,marisol.escobar@dummybimbo.com,servicios de facturacion,
mhernmej,marisol hernandez mejia,marisol.hernandez01@dummybimbo.com,conciliaciones,
marisol.rodriguez01,Marisol Rodriguez Bautista,marisol.rodriguez01@dummybimbo.com,servicios de facturacion,
cscmcortlop,MARTHA ELVIRA CORTES LÓPEZ,,nominas nacional,
recepcioncsc,Martha Itzel  Ruiz Rosas,recepcion.csc@dummybimbo.com,servicios,
mari.escalante,MaryCarmen Escalante Montoya,mari.escalante@dummybimbo.com,nominas nacional,
mauricio.herrera01,Mauricio Herrera Bazan,mauricio.herrera01@dummybimbo.com,conciliaciones,
mayra.hernandez01,Mayra Hernandez Torres,mayra.hernandez@dummybimbo.com,servicios de facturacion,
cscmcontrfin,Mesa Control Finiquitos,cscmcontrfin@dummybimbo.com,activo fijo,
mpereort,MIGUEL ANGEL PEREZ ORTIZ,miguel.perez02@dummybimbo.com,credito y cobranzas,
bmmtorrser,MIGUEL ANGEL TORRES SERVIN,miguel.torres03@dummybimbo.com,compras,
cscmgodipla,Miguel de Jesus  Godinez Plascencia,miguel.godinez@dummybimbo.com,servicios de facturacion,
cscmramicon,Miguel Ramirez Contreras,miguel.ramirez04@dummybimbo.com,nominas nacional,
mbarrarr,Miriam Barreto Arratia,miriam.barreto@dummybimbo.com,credito y cobranzas,
miriam.echeverria,Miriam Echeverria,miriam.echeverria@dummybimbo.com,servicios de facturacion,
cscmsilvram,MIRIAM SILVA RAMON,,nominas nacional,
moises.ballinas,Moises Luis Ballinas Estrella,moises.ballinas@dummybimbo.com,servicios de facturacion,
mcortpen,monica cortes peña,,activo fijo,
cscmcardtre,MONICA GISELA CARDENAS TREJO,,credito y cobranzas,
monica.guzman01,Monica Guzman Castañeda,monica.guzman01@dummybimbo.com,fiscal,
monica.n.mejia,Monica Mejia Arellano,monica.n.mejia@dummybimbo.com,conciliaciones,
monica.soto,Monica Soto Guillen,monica.soto@dummybimbo.com,credito y cobranzas,
monserrat.avila,Monserrat Patricia Avila Melendez,monserrat.avila@dummybimbo.com,fiscal,
myriam.rios,Myriam De Lourdes Hernandez,myriam.rios@dummybimbo.com,credito y cobranzas,
nalleli.andrade,Nalleli andrade Benitez,nalleli.andrade@dummybimbo.com,proyectos,
nallely.estrada,Nallely Estrada Martinez,,activo fijo,
ngarcrod,nancy Elizabeth garcia rodriguez,nancy.garcia01@dummybimbo.com,credito y cobranzas,
nancy.sanchez01,Nancy Marisol Sanchez Delgado,nancy.sanchez01@dummybimbo.com,activo fijo,
cscnlopeort,NANCY YOLANDA LOPEZ ORTEGA,,proyectos,
nayeli.guerrero,Nayeli Berenice Guerrero Morales,Nayeli.guerrero@dummybimbo.com,cuentas por pagar,
nhernmen,Nayeli Hernandez Mendoza,nayeli.hernandez03@dummybimbo.com,nominas nacional,
nayelli.segundo,Nayeli Segundo  Hernandez,nayeli.segundo@dummybimbo.com,nominas nacional,
nayeli.ceballos,Nayelli Ceballos Antonio,nayeli.ceballos@dummybimbo.com,credito y cobranzas,
nayelli.vazquez,Nayelli Vazquez Lopez,nayelli.vazquez@dummybimbo.com,fiscal,
nayely.avalos,Nayely Alejandra Avalos Delgado,nayely.avalos@dummybimbo.com,conciliaciones,
nnolajus,Nayely Esmeralda Nolazco,nayely.nolasco@dummybimbo.com,fiscal,
cscnromemen,NELINA ROMERO MENDEZ,,servicios de facturacion,
ntorrsol,NESTOR VICENTE TORRES SOLIS,nestor.torres@dummybimbo.com,nominas nacional,
cscnhernmay,NORMA ANGELICA HERNANDEZ MAYORAL,,nominas nacional,
oreyesan,Octavio Reyes Santiago,octavio.reyes@dummybimbo.com,credito y cobranzas,
cscomoraroj,OLGA LIDIA MORALES ROJAS,,credito y cobranzas,
cscoromepal,OLGA ROMERO PALACIOS,,nominas nacional,
omar.duena,Omar Alejandro Dueñas Estrada,omar.duena@dummybimbo.com,activo fijo,
orivevar,OMAR NERI RIVERA VARGAS,omar.rivera02@dummybimbo.com,activo fijo,
opozoant,OMAR POZOS ANTUNEZ,omar.pozos@dummybimbo.com,conciliaciones,
oscar.millan,Oscar  Daniel  Millan Rodriguez,oscar.millan@dummybimbo.com,activo fijo,
oscar.deloera,Oscar David De Loera Segundo,oscar.deloera@dummybimbo.com,cuentas por pagar,
cscorocharr,Osvaldo Rocha Arreola,osvaldo.rocha@dummybimbo.com,credito y cobranzas,
oswaldo.martinez,oswaldo Roberto Martinez Beccerra,oswaldo.martinez@dummybimbo.com,credito y cobranzas,
patricia.hernandez01,Patricia Hernandez Lopez,patricia.hernandez01@dummybimbo.com,cuentas por pagar,
cscpperelop,PATRICIA PEREZ LOPEZ,,direccion general,
ppuliram,PATRICIA PULIDO RAMOS,patricia.pulido@dummybimbo.com,nominas nacionales,
pespipen,PERLA XOCHITL ESPINOSA DE LOS MONTEROS PENA,perla.espinosa@dummybimbo.com,proyectos,
pnominor,PROCESO DE NOMINAS NORTE,procesodenominasnorte@dummybimbo.com,nominas nacional,
cscricoh,Pruebas de servicio,cscricoh@dummybimbo.com,sistemas,
raquel.fuentes,Raquel Fuentes Lopez,raquel.fuentes@dummybimbo.com,credito y cobranzas,
ricardo.barrientos,Ricardo Martin Barrientos Alvarado,ricardo.barientos@dummybimbo.com,cuentas por pagar,
ricardo.sanchez05,Ricardo Sanchez Frias,ricardo.sanchez05@dummybimbo.com,credito y cobranzas,
cscrvillmar,RICARDO VILLEDA MARTINEZ,,servicios de facturacion,
ricohoperator,RICOH,,sistemas,
cscrmartcor,ROBERTO CARLOS MARTINEZ CORENO,,nominas nacional,
roberto.mendoza01,Roberto Carlos Mendoza Martinez,roberto.mendoza01@dummybimbo.com,credito y cobranzas,
roberto.reyes04,Roberto Reyes Rodriguez,roberto.reyez04@dummybimbo.com,activo fijo,
rcabacon,Ronaldo Andres  Cabana Contreras,ronaldo.cabana@dummybimbo.com,activo fijo,
rosa.ruiz,Rosa Elena Ruiz Sanchez,rosa.ruiz@dummybimbo.com,credito y cobranzas,
rvalvalc,Rosa Erendira Valverde Alcaraz,Erendira.Valverde@dummybimbo.com,tesoreria,
cscrlujavil,ROSA IMELDA LUJANO VILLAFAN,,fiscal,
rosa.vanegas,Rosa Lucinelly Vanegas Guerrero,rosa.vanegas@dummybimbo.com,gestion corporativa,
cscrrobljim,ROSA NAYELLI ROBLES JIMENEZ,,cuentas por pagar,
cscrcampguz,RUBEN CAMPOS GUZMAN,,conciliaciones,
ruben.hernandez02,Ruben Hernandez Arevalo,ruben.hernandez02@dummybimbo.com,conciliaciones,
cscrponcleo,RUTH ADRIANA PONCE DE LEÓN CASTRO,,credito y cobranzas,
sabino.ramirez,Sabino Ramirez Martinez,sbino.ramirez@dummybimbo.com,fiscal,
cscsmichcas,SALMA GUIZEH MICHER CASTANEDA,,fiscal,
salvador.salazarpaez,Salvador salazar Paez,salvador.salazarpaez@dummybimbo.com,nominas nacional,
cscslugoper,SANDRA CARIDAD LUGO PEREA,,conciliaciones,
cscsgarccas,SANDRA GARCIA CASTELAN,,fiscal,
sara.flores,Sara Flores Sanchez,Sara.flores@dummybimbo.com,activo fijo,
saul.montalvo,Saul Montalvo Barajas,saul.montalvo@dummybimbo.com,fiscal,
cscsaguicru,SERGIO AGUILAR CRUZ,,catalogos sia,
tpshernvar,SERGIO ANDRES HERNANDEZ VARGAS,sergio.hernandez04@dummybimbo.com,nominas nacional,
cscshernmor,SERGIO HERNANDEZ MORAN,,nominas nacional,
sergio.correa,Sergio Javier Correa Martinez,sergio.correa@dummybimbo.com,activo fijo,
cscsmartesp,SERGIO MARTINEZ ESPINOZA,,conciliaciones,
sgarczav,silvia astrid garcia zavala,silvia.garcia@dummybimbo.com,nominas nacional,
mmmgariort-sec,Sistemas,yeny.dejesus@dummybimbo.com,sistemas,
cscscabagon,SONIA MARICELA GONZALEZ CABALLERO,,credito y cobranzas,
sonia.perez,Sonia Perez Pineda,sonia.perez@dummybimbo.com,nominas nacional,
cscsgardher,Susana Garduno Hernandez,,fiscal,
cscslarasua,SUSANA INES LARA SUAREZ,,cuentas por pagar,
hz4mxp,System created.,,activo fijo,
csctvidaran,TANIA ELAINE VIDAL RANGEL,,cuentas por pagar,
tania.nunez,Tania Nuñez Benites,tania.benites@dummybimbo.com,activo fijo,
csctaraidia,tzayhri araiza diaz,,catalogos sia,
uriel.velazquez,Uriel Omar Velazquez Fonseca,uriel.velazquez@dummybimbo.com,activo fijo,
ucasigar,Uziel Casillas Garcia,uziel.casillas02@dummybimbo.com,catalogos sia,
vrosavel,valeria rosas velazquez,valeria.rosas@dummybimbo.com,cuentas por pagar,
glbvmunoher,velia maria muñoz hernandez,,cuentas por pagar,
tpasancter,VICENTE ALEJANDRO SANCHEZ TERMINEL,alejandro.sanchez@dummybimbo.com,sistemas,
cscvmoradia,VICTOR ALFONSO MORALES DIAZ,,conciliaciones,
cscvarripal,VICTOR ARRIAGA PALMA,,credito y cobranzas,
victor.chaparro,Victor David Chaparro Herrera,victor.chaparro@dummybimbo.com,credito y cobranzas,
victor.garcia08,Victor Manuel Garcia Quiñones,victor.garcia08@dummybimbo.com,credito y cobranzas,
vgonzcas,Victor Manuel Gonzalez Castañon,victor.gonzalez01@dummybimbo.com,nominas nacional,
cscvsolimar,VICTOR SOLIS MARTINEZ,,nominas nacional,
cscvvargmac,VIRGINIA VARGAS MACIAS,,credito y cobranzas,
cscwtapigar,WILLHELM DAVID TAPIA GARCIA,,credito y cobranzas,
ygonzpor,YADIRA GONZALEZ PORTUGUEZ,yadira.gonzalez@dummybimbo.com,nominas nacional,
yazmin.alonzo,Yazmin Alonzo Perez,yazmin.alonzo@dummybimbo.com,fiscal,
ybrithue,Yazmin Marisol Brito Huerta,yazmin.brito@dummybimbo.com,activo fijo,
ymartbal,Yeri Martinez Balderas,yeri.martinez@dummybimbo.com,credito y cobranzas,
cscylopemon,YOLANDA LOPEZ MONTES,,fiscal,
cscyordumar,yolanda orduna martinez,,credito y cobranzas,
yosi.antimo,Yosi Carolina Antimo Rivera,yosi.antimo@dummybimbo.com,fiscal,
